title_normalized,price_quetzales,square_meters,rooms,parking,baths,location_normalized,description_normalized
zona 7 final san juan montserrat 1 oficinas local bodega,1350000,450,10,6,3,zona 4,casa en venta zona 4 de mixco montserrat 1 dentro de garita 3 niveles casa ideal para hospital veterinaria hospedaje oficinas bodeguita 16 ambientes mas cocina comedor sala 3 banos 2 parqueos adentro mas 4 parqueos afuera 3 niveles 10 x 20 2 tinacos de agua 1 paja de agua 2 cisternas 425 mts2 aprox de construccion q1 350 000 agua municipal q160 al mes iusi trimestral q75 anual q302 garita q125 mensual con 2 marbetes casa necesita mejoras
apartamento a estrenar en iq10 zona 10 en nivel 7,1638000,105,2,2,2,zona 10,area 80 mts2 de apartamento 2 parqueos el apartamento cuenta con 2 dormitorios el principal con bano completo y walk in closet el secundario comparte bano completo con visitas tiene area de lavanderia sala comedor ampio cocina abierta y balcon super amplio con vistas a la ciudad es de esquina por lo que tiene ventilacion cruzada y doble iluminacion el edificio cuenta con amenidades como salon social y area para ninos area para mascotas bbq lounge y fire pits sky lounge piscina y muchos mas ubicado en el mejor sector de zona 10 a una cuadra de diagonal 6
pre venta apartamentos nuevo proyecto ankori zona 10,1291680,68,1,2,1,zona 10,4 ta avenida 14 56 zona 10 en la calle de chillis apartamentos de 1 2 y 3 habitaciones 2 parqueos amenidades lobby business center pool gym social lounge garden lounge yoga deck sky lounge kids room kids park chef's kitchen pet park y spa precio de venta con impuestos de 1 habitacion 165 600 en 68 mts2 parqueos de 2 habitaciones 201 180 en 85 mts2 parqueos de 3 habitaciones 252 879 en 120 mts2 parqueos
ultimo apartamento en cendana zona 9 para estrenar 3 dormitorios,1255000,101,3,2,2,zona 9,en nivel 3 76 mts2 2 parqueos 25 mts2 total 101 mts2 3 dormitorios 2 banos completos 2 parqueos sala comedor cocina lavanderia precio q1 255 00 impuestos proyecto con excelente ubicacion en zona 9 ideal inversion o vivienda apartamento para entrega junio 2024 se encuentra ubicado en el mejor sector de zona 9 frente al parque de la industria el proyecto cuenta con diferentes amenidades como gimnasio salones sociales areas verdes y parque interno sky lounge cuartos de juegos roof tops con churrasqueras areas de ninos entretenimiento entre muchos otros excelente proyecto para inversion por excelentes precios y ubicacion aribnb friendly
vendo casa en paraje solar km 16 5,1404000,250,2,2,2,san jose pinula,terreno 171 65 mts2 area 250 mts2 primer nivel garaje para 2 carros bano de visitas sala comedor cocina con gabinetes lavanderia y patio dormitorio de servicio con bano jardin segundo nivel sala familiar dormitorio master con bano closet y balcon dormitorio secundario amplio con closet 1 bano para dormitorio secundario y sala familiar
venta apartamento parque san jorge negociable,1050000,58,2,1,2,zona 11,venta de apartamento en parque san jorge ubicado en el nivel 21 con vista al volcan de agua y al country club de guatemala cuenta con 57 79 metros cuadrados de construccion un parqueo de vehiculo de 12 50 metros cuadrados y un parqueo de motos o bicicleta de 1 69 metros cuadrados el apartamento cuenta con una habitacion secundaria habitacion principal dos banos completos sala comedor cocina balcon cuarto de limpieza con pila y el espacio apropiado para ubicar torre de lavado adicional el proyecto cuenta con varias amenidades 4 salones para realizar eventos salas de reuniones de trabajo areas compartidas para poder trabajar buzon para correspondencia parqueo de visitas sala de juegos para bebes juegos para ninos pequenos churrasqueras piscina climatizada gimnasio sala de cine salon familiar man cave sala del te y la cocina del chef
vendo casa en zona 12 miller rock,1250000,245,5,3,3,zona 10,vendo casa en miller rock z 12 a pocos metros de plaza madero atanasio tzul su ubicacion estrategica a la par de la garita de ingreso la hace ideal para oficinas o vivienda terreno de 13 x 11 mts 245 mt2 de construccion la casa ofrece 5 dormitorios amplios y luminosos 3 banos funcionales para comodidad de todos 1 parqueo bajo techo y 2 sin techo frente a la casa distribucion practica en 3 niveles primer nivel parqueo bodega estudio sala y comedor y cocina segundo nivel sala familiar dormitorios tercer nivel lavanderia dormitorio de servicio y terraza precio q1 250 000 00 impuestos de ley cod 8649
venta de apartamentos nuevos zona 11,1843140,130,3,0,0,zona 11,de 2 dormitorios de 110 m2 de 3 dormitorios de 130 m2 y 181 m2 unos modelos tiene dormitorio de servicio amenidades areas de caminamiento y verdes piscina gym salon sociales precios de venta desde 214 500 a 236 300 00 incluyendo impuestos enganche fraccionado y tambien opcion de arrendamiento con opcion a compra cuotas del banco desde q12 700 eb qr5730
apartamento en venta en cayala zona 16,1794000,84,2,2,2,zona 16,cuenta con dormitorio principal con bano completo y walk in closet dormitorio secundario con closet bano secundario completo cocina equipada con refrigeradora estufa campana con extractor de olores y lavadora de platos sala comedor balcon lavanderia con lavadora y secadora de ropa pila y calentador cortinas intercomunicador con pantalla para control de visitas dos parqueos al lado del elevador casa club gimnasio area para mascotas area para eventos en azotea sala de cine con 12 butacas business center parqueo de visitas a pocos pasos de los comercios en paseo cayala el apartamento se encuentra rentado actualmente precio venta 230 000 00 un poco negociable eb qi9487
apartamento en venta de 2 dormitorios en zona 10,1014000,50,2,1,2,zona 10,cuenta 50 4 mts2 sala comedor cocina 2 dormitorio 2 banos 1 parqueo edificio con preciosas amenidades como piscina salon social jardin gym salitas juego de ninos circuito para bicicletas bbq louge coworking precio de venta 130 000 mas impuestos eb px2903
casa en venta en santa rita zona 2 de mixco,1800000,210,5,0,4,zona 2,terreno 165 75 mts 2 construccion 210 mts 2 hay planos de la construccion original y de la ampliacion distribucion primer piso sala y comedor con lamparas cocina con estufa electrica y refrigeradora dos dormitorios con closet bano completo bar totalmente de caoba con espejos e iluminacion cuarto de servicio con bano inodoro y regadera lavanderia sin linea blanca; solo 1 pila calentador electrico garage un vehiculo jardin frontal patio para tender con jardin distribucion segundo piso dormitorio con walking closet totalmente de caoba; incluye juego de dormitorio en caoba tamano queen cama sin somier mesas de noche y gavetero con espejo con su bano completo dormitorio con closets de piso a techo totalmente de caoba con su bano completo sala familiar estudio oficina con dos muebles hechos a medida en caoba un escritorio con gabinetes y una librera grandes jardin interior cisterna de agua construida debajo del jardin frontal de concreto con capacidad de 4 000 litros se hizo limpieza recientemente bomba en perfecto estado de funcionamiento precio de venta q1 800 000 00 mas impuestos mas timbres y gastos eb qi7232
proyecto de apartamentos de 1 2 y 3 dormitorios en zona 12,586400,50,0,0,0,zona 12,descripcion apartamentos de 1 2 y 3 dormitorios 3 000 mts2 area verde opcion de bodega 1 y 2 parqueos amenidades pet park piscina bbq rooftop co working business center family lounge fire pits gym salon social kids room lobby precios desde 1 dormitorio q586 400 00 incluyendo impuestos enganche del 7 fraccionado eb qo5595
apartamentos en zona 11 opcion 1,994700,57,2,2,2,zona 11,edificio - gym - pet friendly - lobby de doble altura - pet park - biblioteca de herramientas - business center - coworking - jogging track - ludoteca - salon social - rooftop lounge - juegos para ninos - pinatero - bbq lounge - cancha polideportiva apartamentos - area de apartamento opcion de 57 m2 y 61 m2 - sala comedor - cocina - 2 dormitorios - opcion de 1 o 2 banos - lavanderia - 2 parqueos precio de venta q994 700 hasta q1 061 100 incluye impuestos fecha de entrega 2026 enganche fraccionado 10 informacion general codigo 261242
apartamento en km 14 carretera a el salvador,1074177,72,2,2,2,carretera a el salvador,edificio - fitness sky yoga gym - fogatero sky lounge - cinema room - irish grill - karaoke room - terraza para churrascos - business wifi center - area de juegos para ninos - area de mascotas - breakfast place apartamento - area de apartamento 72 m2 - area de parqueo 28 m2 - incluye cortinas y lamparas - sala comedor - cocina abierta con gabinetes incluye estufa refrigeradora microondas lavadora secadora y calentador de agua - 3 balcones - 2 dormitorios - 2 banos - 2 parqueos precio de venta 137 715 mantenimiento q1 112 informacion general codigo 261223
apartamento en calzada roosevelt zona 2 de mixco,667000,55,2,1,1,zona 2,edificio - skylounge - salon social - co working - juegos infantiles - area de descanso - seguridad 24 horas - control de acceso vehicular - doble garita de seguridad con control de visitas apartamento - area de construccion 55 m2 - sala comedor - cocina - dormitorio principal - dormitorio secundario - 1 bano compartido - lavanderia interior - 1 parqueo precio de venta q667 000 informacion general codigo 260785
apartamento en aralia zona 11,1080000,85,2,2,2,zona 11,edificio - piscina - gimnasio - pergola social - terraza de fogatas - area de parrillas - day care - parqueo de visitas apartamento - area de construccion 85 m2 - sala - comedor - cocina - 2 dormitorios - 2 banos - 2 parqueos precio de venta con 1 parqueo 135 000 precio de venta con 2 parqueos 150 000 ideal inversionista mantenimiento q 700 informacion general codigo 167780
apartamento en zona 2,800000,46,2,1,1,zona 2,amenidades - gym - co working - juegos infantiles - business center - area de churrasqueras - area social con vista espectacular apartamento - area de apartamento 46 33 m2 parqueo - sala comedor - cocina con gabinetes - balcon - linea blanca completa y nueva - 2 dormitorios con closet - 1 bano - calentador general - torre de lavanderia - 1 parqueo precio de venta q800 000 mantenimiento q717 incluye basura y agua ideal inversionista informacion general codigo 253820
apartamento en zona 17,700000,78,3,2,2,zona 17,amenidades - piscina - gimnasio - elevadores - area verde - pozo propio - salon social - juegos de ninos - parqueo de visitas - area de mascotas - canchas deportivas - garita de seguridad apartamento - area de apartamento 78 m2 - sala comedor - cocina - balcon - 3 dormitorios - 2 banos completos - lavanderia - 2 parqueos precio de venta q745 000 negociable mantenimiento q730 informacion general codigo 250699
