title,price,square_meters,rooms,parking,baths,location,img_url,url,adv_description
 Casa en venta en el sector del Naranjo - Ref. 80631,"['Q1,400,000']",170.0,3.0,2.0,3.0,Zona 4,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/28/22/63/21/28226321_0531f9,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-casas/casa-en-venta-en-el-sector-del-naranjo-ref-80631/28226321?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","SOLO CLIENTES INTERESADOS   Ubicada en un sector con accesos fáciles al sector el naranjo, villa linda, bosques de San Nicolás, colegios, centros comerciales, supermercados.    AREA DE TERRENO: 256.02 mts2  Frente: 15.06 mts  Fondo: 17 mts    ÁREA DE CONSTRUCCIÓN: 170 mts2  Construcción original: 136 mts2  Área de garaje y pergola (Ampliación): 34 mts2    NIVEL 1.  • Garaje Techado para 2 Vehículos  • Estacionamiento para (1) Vehículo en la calle frente a los portones  • 2 Portones Eléctricos  • Área de Lavandería con Techo Tipo Pérgola Metálica  • Amplio Jardín Exterior  • ½ Baño de Visitas  • Sala y Comedor  • Cocina Equipada con Gabinetes y Desayunador   NIVEL 2.  • Ambiente de Sala Familiar, Estudio o Gimnasio  • Habitación Principal con Walk in Closet, Baño Completo y Balcón Exterior  • Habitación 1 con Closet con puertas corredizas  • Habitación 2 con Closet con puertas corredizas  • Baño Completo que comparten Habitaciones 1 y 2    PRECIO DE VENTA: Q. 1,400,000  Cuota Mensual de Basura + Agua + Seguridad + Garita: Q785.00 (incluye IVA)"
" Casa en venta en Entrada a Olmeca, Carretera a El Salvador","['$168,000']",197.0,3.0,4.0,2.0,Fraijanes,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/28/30/53/75/28305375_15e5dc,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-casas/casa-en-venta-en-entrada-a-olmeca-carretera-a-el-salvador/28305375?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","Ubicado dentro de condominio Bougambilias de Arrazola y cuenta con 217.17 m2 de construcción y 196.91 m2 de área de terreno.    Cuenta con:  - 3 habitaciones (principal con Walk in closet y balcón)  - Sala familiar  - Área de servicios completa  - Lavandería  -Cisterna de bomba de agua y calentador  - 4 parqueos  - Terminados de lujos en puertas, pisos, zócalos, baños, etc.    PRECIO DE VENTA: US $168,000  MANTENIMIENDO: Q600"
 REMATO ULTIMO PRECIO!!!EXCELENTE OPORTUNIDAD URGE VENDER,"['Q990,000']",74.0,2.0,2.0,2.0,Zona 11,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/28/44/17/37/28441737_b70abe,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-apartamentos/remato-ultimo-precio-excelente-oportunidad-urge-vender/28441737?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","Balmes 47 tiene únicamente 56 apartamentos con detalles preciosos en cada una de las amenidades y acogedores ambientes, está ubicado en LAS CHARCAS zona 11 en frente al Ministerio de Energía y Minas, a unos metros de Colegios de prestigio, de la Universidad San Carlos, Supermercados. Aguilar Batres. AMBIENTES DEL APARTAMENTO: Sala-Comedor- Cocina con línea blanca, torre de lavadora y secadora, dormitorio principal con w/c y baño y 1 dormitorio secundario, baño , balcón, 2 parqueos tandem.  AMENIDADES: Piscina, Gimnasio, Salón de reuniones, terrazas para fogata, áreas verdes con juegos para niños, mesa de futillo, bar, baños de visita, churrasqueras, parqueos de visitas. Una excelente opción de inversión.  NO AIR B&B Haz tu cita para conocerlo.!!!"
" Se vende Apartamento en Guajitos Zona 12 Guatemala, Q.415,000 más gastos e impuesto","['Q415,000']",47.0,2.0,1.0,1.0,Zona 21,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/28/43/80/90/28438090_fe208b,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-apartamentos/se-vende-apartamento-en-guajitos-zona-12-guatemala-q-415-000-mas-gastos-e-impuesto/28438090?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","*SE VENDE APARTAMENTO En Edificio TORRES ATZUL* *Guajitos*   Precio Q 415,000. 00  ( Negociable) más gastos e impuesto   47 mts²  Sala Comedor  Cocina  2 habitaciones  1 baño completo  Área de lavandería.   Parqueo para 1 moto  Nivel 3 (techado)    Mantenimiento Q 485.00 ( agua / seguridad / extracción de basura)  más / 5 meses de Q 110.00   Opción a financiamiento Bancario"
" Se vende casa en Ribera Del Río, San Miguel Petapa Q.630,000 más gastos e impuesto","['Q630,000']",110.0,2.0,2.0,2.0,Guatemala,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/28/43/79/89/28437989_c03f1e,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-casas/se-vende-casa-en-ribera-del-rio-san-miguel-petapa-q-630-000-mas-gastos-e-impuesto/28437989?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","*SE VENDE CASA EN RIVERA DEL RÍO* *San Miguel Petapa* *A un costado del acceso de la VAS* *Precio de Venta* Q 630,000. 00 + gastos e impuesto Poco Negociable *Casa de 2 niveles* Parqueo para 2 vehículos *Primer Nivel* Sala Comedor Cocina Patio trasero *SEGUNDO NIVEL* Área de Sala familiar 2 dormitorios con Baño compartido. Área para salir al Tercer nivel. *TERCER NIVEL* Área de patio. Una bodega ( no se encuentra en buenas condiciones / se tendría que arreglar) *AMENIDADES* Área de Juegos Área de encaminamiento Cancha deportiva Tiendas de conveniencia Financiamiento Bancario Pago de Iusi actual Q 225.00 trimestral Mantenimiento Q.400 MÁS Información Omar Monzón WhatsApp  Venta de casas en San Miguel Petapa  Ribera Del Río"
 Zona 15 apartamento en venta Edificio Triva,"['$179,000']",73.0,2.0,2.0,2.0,Zona 15,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/28/43/23/64/28432364_8ba09d,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-apartamentos/zona-15-apartamento-en-venta-edificio-triva/28432364?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","Lindo apartamento en venta  Zona 15 doble garita  Excelente te punto cerca de tiendas de conveniencia  Edificio Triva con mil amenidades  73 mts2 de apartamento  2 habitaciones  2 baños completos  2 parqueos  Edificio cuenta con :  Es pet friendly  Parqueo de visitas  Lobby  Recepción  3 elevadores  Área de co-working  2 Salones sociales  Área para niños peques  Juegos infantiles para los más grandecitos  Área para adolescentes con mesa de Ping pong  Piscina  Mesas y áreas para tomar el sol  Área social en la terraza con salitas  Área de BBQ  Excelente precio $179,000  Más impuestos  Mantenimiento Q1300  IUSI Q1500 trimestral aprox  NO INTERMEDIARIOS  solamente interesados por favor"
 Casa en Venta en km 18.5 CAES,"['Q995,000']",176.0,3.0,2.0,2.0,Santa Catarina Pinula,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/28/43/06/48/28430648_bc8352,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-casas/casa-en-venta-en-km-18-5-caes/28430648?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","Venta de casa NUEVA en condominio residencial en Carretera a El Salvador km 18.5, Guatemala. Esta propiedad cuenta con:-3 habitaciones.-2 baños completos.-1 medio baño.-2 estacionamientos. -etc.Tiene una superficie construida de 176m2 en un terreno de 116m2 distribuidos en 2 niveles.En un área privilegiada en la que puede caminarse a los mejores colegios y gimnasios, así como a supermercados y plazas comerciales. Dispone de 2 salas, balcones, habitación de servicio, lavandería y es apto para mascotas. ¡Una oportunidad única en un entorno seguro y tranquilo!Increíble precio de Q995,000.00 más impuestos y gastos de escrituración.. --- Clave Interna: PVC.010.07.24 ---"
 Casa en Venta en km 18.5 CAES,"['Q995,000']",176.0,3.0,1.0,2.0,Santa Catarina Pinula,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/28/43/06/45/28430645_39e6f3,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-casas/casa-en-venta-en-km-18-5-caes/28430645?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","Venta de casa NUEVA en condominio residencial en Carretera a El Salvador km 18.5, Guatemala.Esta propiedad cuenta con:-3 habitaciones.-2 baños completos.-1 medio baño.-2 estacionamientos.-etc.Tiene una superficie construida de 176m2 en un terreno de 116m2 distribuidos en 2 niveles.En un área privilegiada en la que puede caminarse a los mejores colegios y gimnasios, así como a supermercados y plazas comerciales.Dispone de 2 salas, balcones, habitación de servicio, lavandería y es apto para mascotas. ¡Una oportunidad única en un entorno seguro y tranquilo!Increíble precio de Q995,000.00 más impuestos y gastos de escrituración.. --- Clave Interna: PVC.010.07.24.01 ---"
" Apartamento en Venta Zona 16, Edificio Solaria","['$210,000']",116.0,2.0,2.0,2.0,Zona 16,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/25/85/70/00/25857000_573779,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-apartamentos/apartamento-en-venta-zona-16-edificio-solaria/25857000?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","Una bonita Vista al Bosque   Año de construcción: 2018   - Sala-comedor  - Cocina  - Desayunador  - Terraza  - 2 dormitorios  - Walking closet  - 2 baños con ducha  - 1 baño de visitas  - 2 parqueos   Equipado con: lavadora, secadora, gabinetes de cocina, cortinas, calentador de agua.   Amenidades: Gimnasio, Área social, Juegos infantiles   Servicios: electricidad, pozo propio, desagües, tanque séptico, vigilancia.   Precio de venta $ 210,000.00 + impuestos de ley.   EB-QB6052"
 VENTA Casa en Zona 11 de Mixco - Fuentes de Minerva II,"['$100,000']",110.0,3.0,2.0,1.0,Zona 11,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/28/42/89/92/28428992_65ca6b,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-casas/venta-casa-en-zona-11-de-mixco-fuentes-de-minerva-ii/28428992?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","Casa ubicada a 20 minutos (sin tráfico) de la Zona 1 de la Ciudad Capital. Ingreso por Boulevard El Naranjo, Periférico y Calzada San Juan. Cerca de centros comerciales con supermercados. Dentro de condominio con seguridad.   La casa mide 7.5 metros de Frente X 17.5 metros de fondo.   Cuenta con:  Exterior:  - Entrada para 1 vehículo sin techar.  - Área para jardín  - Gradas para 2do. Nivel que llevan a un cuarto con pérgola (no tiene baño).   Interior:  Toda la casa es de terraza, es Mixto Listo, tiene columnas preparadas para construir 2do. nivel.  - Sala, cuenta con un closet.  - Comedor-Cocina con gabinetes inferiores fundidos. - 1 cuarto de sanitario con lavamanos  - 1 cuarto de baño grande con área de walking closet, tiene puerta que da a la lavandería. - Área de lavandería techada, tiene pila fundida y azulejo, patio pequeño.  - 2 dormitorios; uno de ellos tiene un corredor que lleva a un área donde hay espacio para otro dormitorio (no tiene piso cerámico y tiene lámina). Ambos dormitorios cuentan con closet.   El condominio cuenta con 39 casas, vecindario tranquilo. El pago de mantenimiento por el momento es de Q475 mensuales, que incluye seguridad, limpieza de áreas comunes y agua (se recomienda construir cisterna). En este momento se encuentra rentada, lo cual no impide la venta, podrían acordar la continuidad de la renta con el inquilino."
" Apartamento en Kanajuyú, zona 16","['Q1,282,600']",79.0,2.0,2.0,2.0,Zona 16,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/28/42/73/37/28427337_8c4536,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-apartamentos/apartamento-en-kanajuyu-zona-16/28427337?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","Amenidades  – Fire Pit  – Gimnasio  – Área verde  – Salon Social  – Rooftop Terrace  – Juegos infantiles  – Garita de seguridad de la Colonia   Apartamento  – Área de construcción total: 101.74 m2  – Área de construcción: 79.13 m2 (Incluye balcón)  – Sala / comedor  – Cocina  – 2 dormitorios  – 2 baños  – Lavandería  – 1 bodega  – 2 parqueos   Precio de venta: $160,325 + Impuestos  * Ideal inversionista  * Enganche: 20%   Información general  Código  241223"
 Apartamentos en Venta en Zona 13 Nuevos,"['$226,432']",108.0,3.0,1.0,2.0,Zona 13,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/28/05/52/36/28055236_1c6000,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-apartamentos/apartamentos-en-venta-en-zona-13-nuevos/28055236?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","Construcción desde 108.11 mts2  Precios desde $ 226,431.94 + impuestos de ley   Cuentan con:  Sala  Comedor  Cocina con gabinetes  Balcón  3 dormitorios  Walk-in closet en dormitorio principal  Closet en dormitorios secundarios  2 baños con ducha  Lavandería con pila  1 parqueo   Amenidades  Gimnasio  Área social  Vigilancia   Disponible para Airbnb.   +Información  EB-PL1004"
 Apartamento Nuevo en Venta en Zona 11 Villa Mariscal,"['Q1,250,000']",93.0,2.0,2.0,2.0,Zona 11,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/28/07/83/68/28078368_ea6b20,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-apartamentos/apartamento-nuevo-en-venta-en-zona-11-villa-mariscal/28078368?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","Apartamento para estrenar en Venta  Área de construcción 92.54 mts2   Sala-comedor  Cocina  Balcón  2 dormitorios  2 baños, baño de visitas  Lavandería  2 parqueos   Amenidades  Gimnasio  Área social  Juegos infantiles  Piscina   Servicios: electricidad, pozo propio, vigilancia.    Precio de venta Q 1,250,000.00 + impuestos de ley.   Características:  Balcón  Estacionamiento techado  Mascotas permitidas  Seguridad 24 Horas  Piscina  Área de juegos infantiles  Gimnasio"
 APARTAMENTOS DE 2 HABITACIONES AMPLIAS EN VENTA ZONA 11,"['Q1,440,000']",75.0,2.0,,2.0,Zona 11,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/28/42/15/43/28421543_c079f3,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-apartamentos/apartamentos-de-2-habitaciones-amplias-en-venta-zona-11/28421543?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","APARTAMENTOS DE 2 HABITACIONES AMPLIAS EN VENTA ZONA 11  13 calle 15-52 zona 11, Colonia Carabanchel   Entrega Primer Semestre 2026   Construcción 75mts2  Parqueos 2   Apartamentos con altura interna de 3mts en todos los apartamentos  Espacios amplios e iluminados  4 niveles de parqueo   Distribución  Sala | Comedor | Cocina con isla integrada | área de lavandería | Baño secundario | Habitación secundaria con closet con espacio para cama queen | habitación principal con walk in closet y baño espacio para una cama King.   Amenidades únicas en el sector   Precio desde Q1,440,000 incluye impuestos y gastos de escrituración"
 APARTAMENTO EN VENTA EN EDIFICIO APICE 2 ZONA 15,"['$200,000']",72.0,1.0,1.0,1.0,Zona 15,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/28/41/47/97/28414797_43c1aa,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-apartamentos/apartamento-en-venta-en-edificio-apice-2-zona-15/28414797?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","Nivel medio bajo   72.16 m²  1 Dormitorio con walking closet, baño y balcón  1.5 Baños  Sala I Comedor I Cocina  Área de Lavandería  Bodega 5.19 m²  1 Parqueo  Incluye línea blanca, aire acondicionado, cortinas eléctricas en dormitorio.   Amenidades: Gimnasio, piscina, salón de usos múltiples, áreas verdes, terraza, bussiness center, área de juegos infantiles, sky lounge.   Precio de venta $200,000.00  Mantenimiento: Q. 1,170  IUSI Trimestral: Q. 2,100   1707/335   Info  Te146460011   Info  Te145417320"
 CASA COTIO MIXCO,"['$220,000']",258.0,3.0,4.0,3.0,Zona 2,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/28/41/36/62/28413662_9211df,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-casas/casa-cotio-mixco/28413662?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","CASA DE VENTA DENTRO DE GARITA  parqueo para 2 o + vehículos  1er nivel  sala ,estudio ,baño de visitas ,cocina y comedor ,pequeño patio . 2do nivel  dormitorio principal con baño, clóset,balcón,2 dormitorios con clóset, baño que comparten los 2 dormitorios  3er nivel  cuarto de servicio y una pequeña terraza  VENTA $220,000 NO COMISIONISTAS VENTA DIRECTA  INFORMACIÓN"
 APARTAMENTO QUO ZONA 4,"['$250,000']",72.0,2.0,2.0,2.0,Zona 4,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/28/41/32/94/28413294_b49a41,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-apartamentos/apartamento-quo-zona-4/28413294?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","APARTAMENTO ZONA 4  PARA INVERSION ESTA ALQUILADO ACTUALMENTE  78 mts + 22 mts DE TERRAZA ,2 PARQUEOS  TERRAZA AMPLIO CON LINDA VISTA  SALA -COMEDOR - COCINA CON LINEA BLANCA COMPLETA  2 DORMITORIOS  2 BAÑOS  VENTA $250,000 INFORMACIÓN NO COMISIONISTAS  VENTA DIRECTA"
 CASA EN VENTA EN CONDOMINIO VILLAS DEL ROSARIO ZONA 3 DE MIXCO,"['Q1,300,000']",150.0,3.0,2.0,2.0,Zona 3,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/28/41/02/64/28410264_cd439a,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-casas/casa-en-venta-en-condominio-villas-del-rosario-zona-3-de-mixco/28410264?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","Condominio de 10 casas   Primer Nivel  Garage para 2 vehículos  Sala para visitas  Baño completo  Comedor  Cocina con gabinetes  Estudio  Bodega  Patio trasero con pérgola  Área de lavandería   Segundo Nivel  Sala familiar  2 Habitaciones secundarias con closet  Habitación principal con baño.  1 Baño compartido para dos habitaciones secundarias.  Terraza   Extras lámparas, cortinas black out , mamparas. Terreno de 6*16.5   Precio de venta Q1,300,000.00 negociable   Pago de mantenimiento Q750, - IUSI Trimestral Q1,200   1607/391   Info  Te146460011   Info  Te145417320"
 Casa en Venta en Altos de Village II,"['Q670,000']",107.0,3.0,3.0,2.0,Fraijanes,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/27/91/27/19/27912719_28fd54,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-casas/casa-en-venta-en-altos-de-village-ii/27912719?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","Casa en Venta en Carretera a El Salvador   Casa de 2 niveles,  Sala comedor  Cocina amplia con lindos gabinetes de cocina  Baño de visitas  3 dormitorios, el principal con walk in closet, baño y balcón  2 dormitorios secundarios con baño grande compartido  Bodega abajo de gradas  Instalación para refrigeradora con entrada de agua, lavavajillas y para la campana de extracción de olores  Parqueo para 2 carros bajo techo y uno enfrente  Área de lavandería, con pila, conexiones para lavadora y secadora,  Instalación para calentador eléctrico, de gas o solar   CON PASILLO DE UN METRO DE SEPARACIÓN ENTRE CASA Y CASA  Incluye zócalos, mosquiteros y ventanería PVC   Precio de introducción: Q.670,000.00 (Sujeto a cambios sin previo aviso)   ¡Pida su cotización!"
 Vendo apartamento para estrenar en zona 10 Ref-4027,"['$195,000']",94.0,3.0,2.0,3.0,Guatemala City,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/28/40/38/70/28403870_ab8a67,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-apartamentos/vendo-apartamento-para-estrenar-en-zona-10-ref-4027/28403870?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","Vendo apartamento para estrenar en zona 10 Ref-4027    Edificio de 18 niveles  2 Torres de apartamentos  Excelente ubicación    Descripcion    Habitacion principal con walk in closet, baño y mini balcón  2 habitaciones secundarias que comparte baño  sala con balcón  comedor  cocina equipada (Estufa, nevera, lavaplatos, microondas  area de lavanderia equipada con torre de lavado  Baño de visitas  Bodega  2 parqueos    Sobre los acabados del apartamento    Zocalo en todo el apartamento  Piso ceramico imitación madera  3.20mts de altura de losa a losa  cocina con gabinetes de cocina imitación madera y top de cuarzo  salpicadera alta de cuarzo  Griferia Alemana  Closet y muebles de baño con top de cuarzo    Amenidades:    lobby con 2 salas de espera  Circuito cerrado y seguridad 24/7  Piscina Semiolimpica de 25mts  Gimnasio amplio con ventilacion y luz natural  2 business center  Salón social  Área infantil   Circuito para bicicleta y scooters  Playground    Planta electrica para todo el edificio  Parqueo techado de visitas  Pet Friendly    Precio de venta desde U$195;000 mas IVA"
 Vendo Apartamento Amplio en Zona 10 Ref-4212,"['$180,000']",110.0,2.0,1.0,2.0,Guatemala City,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/28/40/38/61/28403861_45c5ad,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-apartamentos/vendo-apartamento-amplio-en-zona-10-ref-4212/28403861?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","Vendo Apartamento Amplio en Zona 10 Ref-4212 Descripción:   Habitación Principal con Clóset Habitación secundaria con clóset Baño completo  Sala Comedor Cocina con gabinetes. Balcón grande Área de Lavanderia Baño de Servicio Área para Estudio 1 parqueo  Apartamento Amplio   Precio de Venta $180,000.00"
 Vendo apartamento en Ancona Zona 09 de Mixco.,"['$79,000']",64.0,3.0,2.0,1.0,Zona 9,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/28/40/16/92/28401692_e932e5,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-apartamentos/vendo-apartamento-en-ancona-zona-09-de-mixco/28401692?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","Apartamento en venta en Edificio Ancona.   Ubicado estratégicamente a tan solo 3 minutos de Carretera Interamericana, con acceso inmediato a Roosevelt y San Cristóbal.   Apartamento con 63.86 mt2. Ubicado en nivel alto.   Sala-comedor, cocina, lavandería, 3 dormitorios con closet grandes , 1 baño y 2 parqueos.   El Condominio cuenta con garita de seguridad, una talanquera para condóminos y otra para visitantes, parqueo de visitas y áreas sociales. El complejo tiene 3 torres, cada torre tiene dos elevadores, gym y dos terrazas sociales.   AMENIDADES: Gym, terrazas y área social con mesa de ping-pong, mesa de futillo y salitas lounge con TV., área social para eventos de 30 personas y área infantil.   Precio US$ 79,000.00 + impuestos de ley.   C. 8685"
 VENDO APARTAMENTO EN LA 20 CALLE DE LA ZONA 10,"['$180,000']",110.0,2.0,2.0,2.0,Zona 10,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/28/39/56/39/28395639_afe30f,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-apartamentos/vendo-apartamento-en-la-20-calle-de-la-zona-10/28395639?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","110 m²   Sala  Comedor  Cocina con gabinetes.  Balcón grande  2 Habitaciones  2.5 Baños  Lavandería  Baño de servicio  Área para estudio  2 Parqueos   Precio de venta $180,000  Iusi Anual Q860  Mantenimiento incluye seguridad limpieza de áreas comunes y agua Q1,040   1307/391   Info  Te146460011   Info  Te145417320"
